"date","close","volume","open","high","low"
"2018/12/19","87.5200","767887.0000","92.6200","97.4700","84.3800"
"2018/12/18","92.9000","377741.0000","93.2100","95.2500","90.7100"
"2018/12/17","90.8400","623556.0000","95.8700","97.8100","88.4800"
"2018/12/14","96.9300","339229.0000","101.0000","102.5000","96.6579"
"2018/12/13","104.6600","285086.0000","105.9000","107.9900","102.9600"
"2018/12/12","104.2800","337451.0000","107.0700","109.0000","104.0700"
"2018/12/11","101.8400","440329.0000","106.5700","106.7990","99.4200"
"2018/12/10","101.5500","569923.0000","96.2000","102.5208","94.1533"
"2018/12/07","97.2900","614333.0000","107.3300","108.9129","96.1401"
"2018/12/06","108.8700","680292.0000","100.7400","108.8700","99.0800"
"2018/12/04","108.2000","451809.0000","120.4100","120.4100","107.5900"
"2018/12/03","122.4200","484114.0000","123.9900","123.9900","118.5426"
"2018/11/30","114.9200","292918.0000","111.9200","115.0000","110.3701"
"2018/11/29","111.6600","349671.0000","114.0800","114.3880","109.8700"
"2018/11/28","114.8201","518497.0000","106.4700","114.9100","106.0000"
"2018/11/27","104.1000","259687.0000","100.9000","104.5800","99.5000"
"2018/11/26","103.4000","361608.0000","101.0000","103.4000","99.1801"
"2018/11/23","96.8300","146379.0000","96.3000","100.2400","96.0300"
"2018/11/21","99.5800","281802.0000","101.8200","102.7699","98.5100"
"2018/11/20","97.7900","543254.0000","95.7400","101.6557","93.7000"
"2018/11/19","104.4200","590171.0000","116.0000","116.4720","103.5100"
"2018/11/16","117.9400","307465.0000","114.1000","119.9500","113.6280"
"2018/11/15","118.3800","419188.0000","111.0700","119.2173","108.7801"
"2018/11/14","110.1700","288262.0000","117.9400","118.7600","108.5600"
"2018/11/13","114.4600","238842.0000","114.8100","120.1800","113.3500"
"2018/11/12","114.1000","392353.0000","123.7800","124.5200","113.5153"
"2018/11/09","127.7300","239294.0000","130.5300","131.2157","124.1988"
"2018/11/08","134.2200","196739.0000","133.2700","135.0111","132.0500"
"2018/11/07","134.6700","336737.0000","128.4500","134.8401","127.8401"
"2018/11/06","124.0300","176846.0000","121.3000","125.6139","121.1390"
"2018/11/05","122.0000","161160.0000","121.9900","122.3699","116.5700"
"2018/11/02","122.3200","462906.0000","125.9700","129.0799","118.9818"
"2018/11/01","129.9600","300961.0000","126.2700","130.0500","122.8230"
"2018/10/31","125.3100","412114.0000","122.3100","128.2900","122.3100"
"2018/10/30","116.9300","359860.0000","112.4800","118.2440","110.1000"
"2018/10/29","113.3500","521677.0000","124.5500","126.8700","106.2720"
"2018/10/26","119.2700","539452.0000","116.9000","126.0400","114.1466"
"2018/10/25","126.7600","384197.0000","120.6100","128.9500","119.4600"
"2018/10/24","115.5900","534465.0000","132.2300","133.0468","115.0100"
"2018/10/23","133.2400","418697.0000","126.9400","135.2399","122.3053"
"2018/10/22","134.7200","270581.0000","133.6500","137.1799","130.9601"
"2018/10/19","131.5700","386665.0000","134.0000","138.1095","130.0400"
"2018/10/18","131.5700","257878.0000","138.0400","138.2000","129.2713"
"2018/10/17","140.2400","233873.0000","142.4600","142.8790","136.2007"
"2018/10/16","142.0700","344755.0000","135.1900","143.0300","134.3471"
"2018/10/15","130.3300","249285.0000","135.4300","135.6827","129.9000"
"2018/10/12","137.0100","480202.0000","135.5000","138.1400","129.4700"
"2018/10/11","125.3300","473573.0000","129.6400","135.4093","122.0000"
"2018/10/10","131.0100","674046.0000","149.3800","149.3800","129.9781"
"2018/10/09","152.0500","164835.0000","150.5000","154.5899","149.2283"
"2018/10/08","150.5500","332587.0000","154.0000","155.0500","145.4000"
"2018/10/05","155.8200","332233.0000","161.8900","163.0100","151.3000"
